iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
2660,533.85,137.87,5.79,66.44,1.97,2.18,2.7859599590301514,6.7888217,6.6286173,7.015337,6.5972404,6.6410303,6.5473776,6.6625934,6.7979846,6.2914386,6.47047
2680,528.22,135.72,5.54,67.36,2.08,2.37,2.7859599590301514,6.885402,6.926187,6.855379,6.640704,6.9519625,6.5370855,6.745123,6.548397,6.651614,6.622045
2700,528.85,137.44,5.44,67.75,1.97,2.14,2.925257921218872,6.824237,6.6552687,7.1356425,7.0005026,6.811975,6.560007,6.695903,6.6907578,6.886301,6.4864006
2720,537.08,129.54,5.98,66.75,1.91,2.14,2.925257921218872,6.699167,6.4570847,6.9662943,6.471283,6.6113563,6.643022,6.8844657,6.721917,6.605474,6.6908293
2740,534.19,128.02,5.7,68.46,2.07,2.38,2.925257921218872,6.8937607,6.588249,7.216037,6.7762375,6.662121,6.9613724,6.935004,6.7797995,6.8120556,6.8366528
2760,542.57,138.09,5.61,68.73,1.87,2.3,2.925257921218872,6.8884254,6.6896257,7.298298,6.6848793,6.834136,6.834291,7.3333945,6.807747,6.6718483,6.6884584
2780,527.82,131.55,5.58,66.95,1.84,2.3,2.925257921218872,6.7512665,6.6571226,6.755682,6.726917,6.7876368,6.828151,6.64191,6.443662,6.6449394,6.709284
2800,521.26,126.02,5.59,66.57,2.23,2.67,3.0715205669403076,6.903417,6.612212,6.840229,6.645744,6.4706097,6.478994,6.7950697,6.7285805,6.7178097,6.3780117
2820,536.24,125.91,5.79,67.7,1.92,2.65,3.0715205669403076,7.2078915,6.669301,6.959871,7.022316,6.7179184,6.6968718,6.6836677,6.665359,6.7017226,6.3725486
2840,534.06,122.48,5.73,68.27,2.21,2.22,3.0715205669403076,7.3370256,6.303611,7.17834,6.7526217,7.0385017,6.5708365,6.944387,6.794393,6.785244,6.5660505
2860,533.44,127.55,5.67,67.46,1.98,2.53,3.0715205669403076,7.080696,6.7893653,6.8026214,6.91593,6.9994955,6.514926,6.7745876,6.649212,6.519369,6.41551
2880,539.33,130.54,5.72,67.77,2.59,2.97,3.0715205669403076,7.042324,7.0208435,6.9129558,7.2506275,6.804256,6.535262,6.70914,6.513986,6.680153,6.303352
2900,524.37,123.96,5.56,66.82,2.22,2.48,3.2250964641571045,6.669126,6.970882,6.873302,6.890792,6.500037,6.562343,6.7141066,6.546217,6.653576,6.434721
2920,542.71,124.62,5.81,68.12,2.43,2.98,3.2250964641571045,6.6596885,7.203376,7.0138264,7.0204725,6.5974455,6.6433372,6.9353075,6.568142,6.8612127,6.6155243
2940,544.0,124.06,5.82,68.48,1.99,2.63,3.2250964641571045,6.8091993,6.8458385,7.0619826,6.9232626,6.993046,6.689538,6.9375334,6.759706,6.767698,6.695476
2960,530.14,125.52,5.29,68.73,1.94,2.69,3.2250964641571045,6.8958564,7.1175914,6.8787107,7.264797,6.9224663,6.635847,6.8096266,6.726989,6.836693,6.6463428
2980,543.97,128.15,5.42,70.55,2.26,2.95,3.2250964641571045,7.1756516,7.1819143,7.2639227,7.414745,6.8450155,6.8281918,7.13499,7.0057697,7.004607,6.695244
3000,534.44,123.17,5.59,68.14,2.14,3.0,3.3863511085510254,7.0689116,6.7398033,6.7539725,7.3411098,6.934909,6.5512176,6.8287635,6.728958,6.7589283,6.4334745
3020,546.1,134.91,5.27,69.08,2.27,2.37,3.3863511085510254,6.9080772,6.7115574,7.174947,7.255891,6.896469,6.748358,6.980899,6.875802,6.756139,6.7671776
