iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
2280,2336.54,248.61,27.68,9.07,0.25,0.43,1.0,2.06,2.04,0.63,0.69,0.43,0.61,0.64,0.57,0.72,0.68
2300,2343.6,271.58,28.34,8.4,0.26,0.48,1.0,2.05,2.02,0.54,0.64,0.4,0.52,0.56,0.5,0.56,0.61
2320,2415.07,266.39,27.25,9.63,0.28,0.44,1.0,2.22,2.25,0.54,0.76,0.54,0.53,0.77,0.67,0.63,0.72
2340,2374.25,283.61,28.24,8.21,0.3,0.43,1.0,1.9,1.99,0.64,0.51,0.46,0.54,0.62,0.46,0.49,0.59
2360,2360.04,262.66,27.45,9.18,0.26,0.37,1.0,2.1,2.12,0.72,0.54,0.63,0.65,0.7,0.49,0.65,0.57
2380,2398.49,262.11,28.08,8.74,0.31,0.4,1.0,2.1,2.14,0.64,0.58,0.38,0.57,0.68,0.55,0.44,0.67
2400,2327.27,241.75,28.79,8.56,0.23,0.42,1.0,2.1,2.08,0.62,0.51,0.43,0.57,0.68,0.54,0.4,0.63
2420,2376.46,261.52,27.68,9.04,0.28,0.47,1.0,2.06,2.07,0.73,0.53,0.65,0.78,0.6,0.43,0.56,0.63
2440,2368.58,265.96,27.88,9.0,0.26,0.44,1.0,2.12,2.12,0.61,0.58,0.58,0.66,0.72,0.51,0.55,0.55
2460,2347.42,256.85,28.15,8.45,0.28,0.46,1.0,2.01,2.03,0.47,0.57,0.57,0.47,0.57,0.5,0.65,0.59
2480,2305.18,242.34,27.79,8.75,0.25,0.41,1.0,2.03,2.09,0.66,0.51,0.54,0.57,0.65,0.51,0.55,0.64
2500,2351.08,239.76,27.78,8.96,0.28,0.43,1.0,2.04,2.08,0.81,0.51,0.64,0.81,0.61,0.45,0.47,0.54
2520,2295.11,244.49,27.49,9.21,0.21,0.48,1.0,2.21,2.29,0.51,0.58,0.49,0.48,0.62,0.66,0.6,0.78
2540,2428.48,242.79,27.07,10.06,0.28,0.47,1.0,2.3,2.36,0.73,0.62,0.5,0.57,0.9,0.7,0.52,0.88
2560,2338.35,263.55,27.74,8.61,0.28,0.43,1.0,1.98,1.98,0.47,0.66,0.67,0.52,0.63,0.54,0.66,0.49
2580,2359.91,271.69,27.08,9.52,0.24,0.36,1.0,2.26,2.27,0.71,0.52,0.63,0.48,0.75,0.6,0.56,0.76
2600,2342.31,269.4,27.95,8.91,0.23,0.42,1.0,2.08,2.05,0.6,0.59,0.74,0.64,0.56,0.55,0.65,0.48
2620,2315.64,243.79,27.87,8.82,0.25,0.37,1.0,2.09,2.1,0.64,0.56,0.54,0.55,0.66,0.49,0.58,0.62
2640,2395.12,246.77,28.58,8.65,0.3,0.48,1.0,2.13,2.18,0.51,0.59,0.46,0.5,0.62,0.52,0.52,0.61
2660,2334.29,241.3,28.18,8.68,0.26,0.47,1.0,2.05,2.13,0.66,0.59,0.43,0.55,0.67,0.53,0.43,0.63
2680,2306.33,247.19,28.17,8.45,0.25,0.52,1.0,1.96,2.1,0.75,0.36,0.53,0.68,0.6,0.47,0.33,0.67
2700,2369.32,236.07,27.67,9.05,0.3,0.56,1.0,2.1,2.12,0.56,0.65,0.66,0.47,0.64,0.51,0.73,0.62
2720,2321.04,250.21,28.27,8.43,0.26,0.47,1.0,2.0,1.99,0.56,0.52,0.56,0.56,0.66,0.45,0.53,0.62
2740,2283.03,252.23,27.34,9.06,0.21,0.41,1.0,2.08,2.08,0.65,0.51,0.76,0.74,0.7,0.53,0.47,0.54
2760,2325.97,262.89,27.46,9.04,0.24,0.54,1.0,2.24,2.25,0.58,0.53,0.47,0.48,0.67,0.57,0.49,0.76
2780,2366.54,244.13,28.11,8.64,0.3,0.46,1.0,1.99,1.99,0.57,0.58,0.66,0.66,0.58,0.45,0.65,0.5
2800,2350.29,237.75,28.04,8.85,0.27,0.41,1.0,2.12,2.13,0.59,0.48,0.58,0.49,0.69,0.55,0.53,0.7
2820,2344.31,245.31,27.36,9.52,0.23,0.34,1.0,2.17,2.16,0.55,0.74,0.6,0.59,0.8,0.72,0.59,0.62
2840,2376.73,262.26,27.36,9.83,0.22,0.41,1.0,2.36,2.41,0.5,0.59,0.49,0.31,0.89,0.76,0.59,0.94
2860,2361.52,245.89,27.57,9.57,0.23,0.38,1.0,2.25,2.2,0.71,0.69,0.51,0.65,0.84,0.62,0.48,0.62
2880,2369.82,257.76,27.77,9.12,0.26,0.38,1.0,2.1,2.08,0.65,0.63,0.59,0.59,0.68,0.64,0.55,0.61
2900,2308.65,248.03,28.45,8.48,0.23,0.42,1.0,2.04,2.09,0.65,0.48,0.53,0.52,0.59,0.49,0.51,0.58
2920,2290.53,262.63,27.93,8.54,0.23,0.4,1.0,1.97,2.05,0.54,0.57,0.62,0.53,0.57,0.48,0.69,0.52
2940,2335.7,260.69,28.15,8.32,0.28,0.44,1.0,1.98,2.08,0.5,0.46,0.52,0.44,0.51,0.55,0.6,0.68
2960,2321.63,239.27,28.1,8.67,0.26,0.44,1.0,1.98,2.08,0.54,0.58,0.57,0.58,0.59,0.5,0.64,0.6
2980,2365.88,260.8,28.67,8.7,0.24,0.37,1.0,1.95,1.98,0.61,0.6,0.74,0.62,0.57,0.45,0.71,0.47
3000,2399.97,241.49,27.59,9.54,0.28,0.39,1.0,2.19,2.2,0.6,0.72,0.62,0.51,0.77,0.61,0.69,0.62
3020,2355.8,288.49,27.84,8.75,0.25,0.45,1.0,2.04,2.15,0.69,0.42,0.56,0.57,0.62,0.47,0.54,0.69
3040,2349.98,254.74,26.95,9.52,0.26,0.42,1.0,2.22,2.31,0.65,0.5,0.62,0.58,0.68,0.66,0.54,0.75
3060,2360.56,248.46,27.92,8.85,0.28,0.49,1.0,2.1,2.22,0.66,0.48,0.52,0.67,0.64,0.56,0.36,0.63
3080,2396.17,244.44,28.44,8.79,0.29,0.4,1.0,2.08,2.15,0.51,0.62,0.53,0.48,0.74,0.65,0.49,0.55
3100,2333.43,253.38,27.58,9.02,0.25,0.41,1.0,2.1,2.16,0.59,0.57,0.52,0.55,0.73,0.65,0.51,0.65
3120,2360.46,249.94,27.75,9.13,0.26,0.4,1.0,2.14,2.18,0.49,0.55,0.64,0.59,0.69,0.57,0.7,0.57
3140,2353.17,243.25,28.5,8.81,0.25,0.38,1.0,2.04,2.05,0.62,0.44,0.68,0.56,0.7,0.5,0.64,0.57
3160,2355.51,264.53,26.47,9.8,0.25,0.44,1.0,2.22,2.17,0.69,0.62,0.64,0.73,0.78,0.64,0.53,0.78
3180,2291.53,233.21,28.59,8.44,0.23,0.42,1.0,2.11,2.08,0.42,0.54,0.58,0.47,0.52,0.45,0.63,0.63
3200,2309.33,235.24,28.12,8.73,0.24,0.46,1.0,2.14,2.19,0.57,0.46,0.55,0.44,0.62,0.5,0.62,0.63
3220,2322.22,236.0,27.68,8.94,0.26,0.38,1.0,2.08,2.14,0.59,0.62,0.54,0.57,0.6,0.53,0.61,0.66
3240,2358.14,254.86,27.68,8.73,0.3,0.44,1.0,2.1,2.2,0.65,0.38,0.53,0.56,0.58,0.5,0.55,0.67
3260,2356.67,258.91,28.28,8.72,0.26,0.45,1.0,2.12,2.15,0.72,0.41,0.48,0.56,0.65,0.48,0.5,0.64
3280,2333.48,260.91,28.49,8.58,0.23,0.39,1.0,2.0,2.02,0.63,0.43,0.75,0.63,0.55,0.36,0.74,0.47
3300,2315.79,234.12,27.59,9.04,0.25,0.36,1.0,2.11,2.18,0.6,0.57,0.56,0.63,0.65,0.49,0.7,0.56
3320,2336.85,265.2,28.32,8.38,0.26,0.38,1.0,2.06,2.09,0.52,0.39,0.64,0.61,0.56,0.45,0.54,0.53
3340,2341.47,236.97,27.53,9.34,0.25,0.44,1.0,2.22,2.36,0.76,0.43,0.51,0.67,0.81,0.59,0.29,0.7
3360,2339.24,248.54,27.31,9.4,0.24,0.39,1.0,2.1,2.19,0.69,0.64,0.58,0.71,0.76,0.59,0.57,0.58
3380,2322.76,247.08,28.23,8.53,0.26,0.45,1.0,2.0,2.15,0.65,0.39,0.71,0.71,0.52,0.34,0.52,0.53
3400,2318.4,261.53,27.54,8.98,0.24,0.42,1.0,2.07,2.17,0.62,0.46,0.67,0.57,0.61,0.47,0.69,0.64
3420,2360.91,242.82,27.94,9.17,0.25,0.39,1.0,2.21,2.29,0.57,0.54,0.57,0.57,0.7,0.59,0.48,0.67
3440,2322.92,244.31,28.75,8.5,0.23,0.39,1.0,2.01,2.07,0.65,0.4,0.7,0.68,0.56,0.42,0.51,0.51
3460,2311.72,259.94,28.54,8.0,0.27,0.38,1.0,1.93,1.95,0.5,0.44,0.73,0.68,0.45,0.4,0.5,0.43
3480,2352.13,248.34,28.13,8.94,0.25,0.45,1.0,2.26,2.26,0.57,0.54,0.34,0.46,0.76,0.59,0.42,0.74
3500,2425.78,250.19,28.12,9.0,0.32,0.52,1.0,2.04,2.06,0.75,0.48,0.69,0.7,0.66,0.46,0.65,0.53
3520,2376.79,243.12,26.98,9.76,0.27,0.41,1.0,2.28,2.29,0.74,0.51,0.6,0.61,0.72,0.62,0.58,0.81
3540,2362.17,248.36,27.54,9.16,0.27,0.43,1.0,2.23,2.24,0.57,0.52,0.58,0.52,0.66,0.53,0.62,0.7
3560,2310.69,255.41,27.29,9.18,0.23,0.46,1.0,2.16,2.16,0.69,0.48,0.66,0.59,0.76,0.53,0.52,0.63
3580,2378.35,238.69,27.52,9.22,0.29,0.44,1.0,2.12,2.1,0.66,0.62,0.56,0.72,0.76,0.59,0.47,0.61
3600,2368.73,233.72,27.93,9.06,0.28,0.49,1.0,2.21,2.18,0.71,0.57,0.39,0.54,0.77,0.59,0.5,0.61
3620,2392.17,258.39,27.49,9.05,0.31,0.43,1.0,2.14,2.17,0.56,0.58,0.48,0.49,0.71,0.56,0.6,0.75
3640,2355.91,250.02,28.01,8.98,0.26,0.38,1.0,2.13,2.2,0.48,0.68,0.55,0.5,0.64,0.6,0.58,0.61
3660,2369.7,250.05,27.82,9.13,0.27,0.46,1.0,2.17,2.18,0.67,0.51,0.56,0.53,0.71,0.62,0.48,0.7
3680,2308.85,238.54,27.44,8.79,0.27,0.42,1.0,2.04,2.07,0.69,0.44,0.72,0.67,0.64,0.47,0.47,0.57
3700,2318.91,231.63,28.11,9.03,0.23,0.35,1.0,2.1,2.1,0.61,0.61,0.52,0.66,0.71,0.64,0.53,0.56
3720,2303.84,223.07,27.54,9.1,0.25,0.47,1.0,2.2,2.24,0.6,0.52,0.42,0.49,0.75,0.69,0.43,0.77
3740,2357.14,239.33,27.71,9.11,0.27,0.42,1.0,2.17,2.2,0.62,0.61,0.48,0.51,0.8,0.58,0.49,0.65
3760,2278.7,222.38,27.83,8.89,0.23,0.4,1.0,2.07,2.11,0.68,0.54,0.59,0.64,0.68,0.49,0.53,0.56
